City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
301,Tessalit,IN,88.39,scattered clouds,20.1986,1.0114,
303,Douentza,IN,89.82,overcast clouds,14.9951,-2.9517,Ogomono Doumbo
306,Laramie,IN,80.96,clear sky,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
313,Goderich,IN,76.91,overcast clouds,43.7501,-81.7165,Harmony Inn
314,Shingu,IN,79.92,broken clouds,33.7333,135.9833,Shingu UI Hotel
315,Wewak,IN,77.07,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
322,Acarau,IN,78.35,few clouds,-2.8856,-40.12,castelo pizzaria
323,Kailua,IN,89.58,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
324,Djambala,IN,77.7,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
330,Tiarei,IN,82.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
333,Wanning,IN,79.66,scattered clouds,18.8003,110.3967,Paradise Hotel
335,Merauke,IN,76.62,overcast clouds,-8.4667,140.3333,
336,Dalmeny,IN,84.67,few clouds,52.3334,-106.7679,
341,Savelugu,IN,78.06,overcast clouds,9.6244,-0.8253,Yoo Naa's Palace
346,Katsuura,IN,85.1,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
354,Lorengau,IN,83.25,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
356,Kralendijk,IN,84.18,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
359,Lloret De Mar,IN,79.34,broken clouds,41.6999,2.8457,Apartaments Guitart
361,Tezu,IN,77.61,overcast clouds,27.9167,96.1667,Circuit House
366,Tevaitoa,IN,78.37,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
367,Terenos,IN,78.51,clear sky,-20.4422,-54.8603,Rancho Pitzer
373,Isangel,IN,82.51,scattered clouds,-19.55,169.2667,Tanna Lodge
378,Novo Aripuana,IN,81.73,scattered clouds,-5.1206,-60.3797,Hotel Ezequiel
379,Makakilo City,IN,88.12,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
381,Banda Aceh,IN,80.26,overcast clouds,5.5577,95.3222,Sulthan Hotel International
388,Sosua,IN,87.22,scattered clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
391,Meulaboh,IN,76.17,overcast clouds,4.1363,96.1285,Kost Pria
392,Itaituba,IN,82.83,overcast clouds,-4.2761,-55.9836,Hotel Campos
395,Balkanabat,IN,83.5,clear sky,39.5108,54.3671,Nebitchi Hotel
