City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
138,Tautira,-17.7333,-149.15,82.42,72,17,8.21,IN,few clouds
139,Zhezkazgan,47.8043,67.7144,82.6,21,7,5.14,IN,clear sky
140,Hofn,64.2539,-15.2082,52.36,88,59,17.38,IN,broken clouds
141,Belmonte,-15.8631,-38.8828,73.9,68,90,10.94,IN,overcast clouds
142,Hasaki,35.7333,140.8333,79.29,78,0,9.78,IN,clear sky
143,Constitucion,-35.3333,-72.4167,51.89,89,99,15.39,IN,overcast clouds
144,Westport,41.1415,-73.3579,80.62,56,1,5.99,IN,clear sky
145,Kruisfontein,-34.0033,24.7314,47.25,42,5,8.79,IN,clear sky
146,Gizo,-8.103,156.8419,82.2,75,51,6.17,IN,moderate rain
147,Ulaanbaatar,47.9077,106.8832,53.73,82,0,2.24,IN,clear sky
148,Mucurapo,10.6667,-61.5333,82.45,82,69,7.16,IN,broken clouds
149,Orebro,59.2741,15.2066,62.92,77,59,0.0,IN,broken clouds
150,Payo,-3.7508,103.6372,71.55,89,7,1.88,IN,clear sky
151,Mumford,5.2618,-0.759,74.14,85,9,8.25,IN,clear sky
152,Berdigestyakh,62.0989,126.6992,66.76,57,52,11.03,IN,broken clouds
153,Umm Lajj,25.0213,37.2685,84.7,50,0,6.58,IN,clear sky
154,Bacolod,10.6667,122.95,80.17,87,78,16.06,IN,broken clouds
155,Wagar,16.1525,36.2032,73.49,89,100,14.16,IN,overcast clouds
156,Iqaluit,63.7506,-68.5145,46.13,81,90,13.8,IN,light rain
157,Chokurdakh,70.6333,147.9167,45.72,63,80,15.12,IN,broken clouds
158,Paamiut,61.994,-49.6678,41.67,86,87,13.96,IN,overcast clouds
159,Viedma,-40.8135,-62.9967,44.83,70,100,10.51,IN,overcast clouds
160,Ust-Maya,60.4167,134.5333,60.42,98,100,9.24,IN,light rain
161,Pacific Grove,36.6177,-121.9166,92.01,76,1,4.0,IN,clear sky
162,Namibe,-15.1961,12.1522,65.77,79,0,6.38,IN,clear sky
163,Laguna,38.421,-121.4238,107.2,22,1,1.01,IN,clear sky
164,Gberia Fotombu,9.8833,-11.1667,68.41,99,99,5.48,IN,overcast clouds
165,Mozarlandia,-14.7447,-50.5706,77.23,32,0,4.88,IN,clear sky
166,Touros,-5.1989,-35.4608,76.1,77,11,16.91,IN,few clouds
167,Hambantota,6.1241,81.1185,79.07,83,94,14.32,IN,overcast clouds
168,Kuryk,43.2,51.65,80.33,56,0,12.28,IN,clear sky
169,Nizwa,22.9333,57.5333,86.94,58,92,3.31,IN,overcast clouds
170,Ancud,-41.8697,-73.8203,44.13,77,100,3.91,IN,overcast clouds
171,Goba,7.0167,39.9833,50.58,93,100,2.82,IN,overcast clouds
172,Corinth,37.9407,22.9573,80.69,55,7,3.13,IN,clear sky
173,Victoria,22.2855,114.1577,82.38,93,90,4.0,IN,light rain
174,Pevek,69.7008,170.3133,37.29,89,89,12.57,IN,overcast clouds
175,Storforshei,66.4043,14.5233,52.66,99,100,0.92,IN,overcast clouds
176,Airai,-8.9266,125.4092,60.17,37,5,2.77,IN,clear sky
177,Castro,-24.7911,-50.0119,54.3,73,0,3.27,IN,clear sky
178,Saldanha,-33.0117,17.9442,48.25,59,48,11.12,IN,scattered clouds
179,Bacungan,9.9106,118.7022,81.57,76,96,7.45,IN,overcast clouds
180,Ende,-8.8432,121.6623,73.49,76,29,1.19,IN,scattered clouds
181,Tondano,1.3038,124.9112,69.89,83,100,3.22,IN,light rain
182,Aasiaat,68.7098,-52.8699,38.98,90,75,11.52,IN,broken clouds
183,Quatre Cocos,-20.2078,57.7625,69.91,80,26,11.56,IN,light rain
184,Mantua,45.1667,10.7833,79.84,78,22,5.01,IN,few clouds
185,Santa Isabel,-23.3156,-46.2214,71.38,50,0,1.03,IN,clear sky
186,Mehran,33.1222,46.1646,90.88,13,0,8.52,IN,clear sky
187,Ushtobe,45.2514,77.9838,72.7,31,0,4.59,IN,clear sky
188,Belle Fourche,44.6714,-103.8522,93.88,23,0,9.51,IN,clear sky
189,Bathsheba,13.2167,-59.5167,81.21,83,40,10.36,IN,scattered clouds
190,Awjilah,29.1081,21.2869,78.33,58,0,12.37,IN,clear sky
191,Barkly West,-28.5354,24.5215,45.68,39,1,10.36,IN,clear sky
192,Cozumel,20.5083,-86.9458,86.11,76,75,5.01,IN,broken clouds
193,Ikom,5.9667,8.7063,70.56,97,65,1.41,IN,broken clouds
194,Parga,39.2831,20.3964,75.18,66,0,4.83,IN,clear sky
195,Yar-Sale,66.8333,70.8333,50.43,93,0,8.5,IN,clear sky
196,Palmas Bellas,9.2319,-80.0867,83.01,90,100,4.41,IN,overcast clouds
197,Vaini,-21.2,-175.2,80.76,89,20,8.05,IN,few clouds
198,Suez,29.9737,32.5263,77.45,71,0,9.42,IN,clear sky
199,Asau,46.4333,26.4,64.76,88,8,3.36,IN,clear sky
200,Yazman,29.1212,71.7446,97.5,41,61,3.85,IN,broken clouds
201,Payakumbuh,-0.2202,100.6308,68.65,86,65,2.26,IN,broken clouds
202,Norman Wells,65.282,-126.8329,68.04,37,20,11.5,IN,few clouds
203,Imperatriz,-5.5264,-47.4917,81.41,39,64,4.56,IN,broken clouds
204,Dingle,10.9995,122.6711,79.92,85,84,14.18,IN,broken clouds
205,Sandwick,60.0,-1.25,55.22,94,90,4.61,IN,overcast clouds
206,Selikhino,50.3672,137.4996,81.72,69,46,9.86,IN,scattered clouds
207,Codrington,-38.2667,141.9667,44.96,78,89,17.45,IN,overcast clouds
208,Marsh Harbour,26.5412,-77.0636,78.6,66,100,11.95,IN,overcast clouds
209,Santiago Del Estero,-27.7951,-64.2615,70.81,41,39,4.09,IN,scattered clouds
210,Carrollton,32.9537,-96.8903,101.25,43,20,1.01,IN,few clouds
211,Osypenko,46.9136,36.8253,69.84,59,0,9.53,IN,clear sky
212,Wanparti,16.3667,78.0667,74.05,88,96,11.74,IN,overcast clouds
213,Mortka,59.3322,66.0214,58.48,89,100,2.57,IN,overcast clouds
214,Guerrero Negro,27.9769,-114.0611,76.51,65,100,14.54,IN,overcast clouds
215,Elk City,35.412,-99.4043,96.78,43,1,14.97,IN,clear sky
216,Qasigiannguit,68.8193,-51.1922,44.85,92,98,7.99,IN,light rain
217,Upernavik,72.7868,-56.1549,40.1,83,94,5.41,IN,overcast clouds
218,Luderitz,-26.6481,15.1594,65.07,23,36,7.0,IN,scattered clouds
219,Zaraza,9.3503,-65.3245,75.69,93,100,1.19,IN,overcast clouds
220,Tilichiki,60.4667,166.1,59.18,77,100,5.46,IN,overcast clouds
221,Kodiak,57.79,-152.4072,58.51,77,90,8.05,IN,overcast clouds
222,Bouar,5.934,15.596,64.4,97,100,2.48,IN,overcast clouds
223,Fairbanks,64.8378,-147.7164,65.01,70,75,3.0,IN,broken clouds
224,Victor Harbor,-35.5667,138.6167,52.47,79,76,15.23,IN,broken clouds
225,Provideniya,64.3833,-173.3,47.52,98,100,13.35,IN,light rain
226,Cascais,38.6979,-9.4215,68.47,73,22,5.01,IN,few clouds
227,Olinda,-8.0089,-34.8553,71.33,88,75,13.8,IN,broken clouds
