City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Pisco,PE,2021-07-23 21:35:36,-13.7,-76.2167,64.45,72,40,17.27
112,Zhigansk,RU,2021-07-23 21:35:36,66.7697,123.3711,66.9,51,2,7.85
113,Hamilton,US,2021-07-23 21:33:04,39.1834,-84.5333,87.66,53,1,1.99
114,Taoudenni,ML,2021-07-23 21:35:37,22.6783,-3.9836,100.38,22,95,9.04
115,Adre,TD,2021-07-23 21:35:37,13.4667,22.2,74.8,74,33,15.1
116,Denpasar,ID,2021-07-23 21:35:37,-8.65,115.2167,74.86,88,75,6.91
117,Mehamn,NO,2021-07-23 21:35:38,71.0357,27.8492,44.55,81,75,25.32
118,Avarua,CK,2021-07-23 21:35:38,-21.2078,-159.775,77.05,69,20,6.91
119,Ahipara,NZ,2021-07-23 21:35:38,-35.1667,173.1667,55.45,75,2,3.4
120,Yellowknife,CA,2021-07-23 21:35:39,62.456,-114.3525,72.28,77,75,11.5
121,Ambilobe,MG,2021-07-23 21:35:39,-13.2,49.05,64.49,84,0,3.62
122,Tres Arroyos,AR,2021-07-23 21:30:50,-38.3739,-60.2798,48.74,75,100,11.01
123,Tromso,NO,2021-07-23 21:31:02,69.6496,18.957,47.05,87,75,1.01
124,Coquimbo,CL,2021-07-23 21:35:39,-29.9533,-71.3436,55.13,76,90,5.75
125,Thinadhoo,MV,2021-07-23 21:35:40,0.5333,72.9333,82.74,77,87,14.18
126,Poco Verde,BR,2021-07-23 21:35:40,-10.7083,-38.1833,67.23,89,56,7.25
127,Scarborough,GB,2021-07-23 21:35:41,54.2797,-0.4044,62.53,84,72,1.01
128,Majene,ID,2021-07-23 21:35:41,-3.5403,118.9707,76.73,87,100,13.09
129,Matamoros,MX,2021-07-23 21:35:41,25.5333,-103.25,91.51,33,75,6.91
130,Hithadhoo,MV,2021-07-23 21:33:37,-0.6,73.0833,82.08,77,100,11.48
131,Puke,AL,2021-07-23 21:35:42,42.0444,19.8997,66.29,53,0,7.4
132,Mpanda,TZ,2021-07-23 21:35:42,-6.3655,31.0409,66.96,45,18,2.64
133,Imeni Poliny Osipenko,RU,2021-07-23 21:35:42,52.4201,136.4853,76.41,87,59,6.11
134,Kruisfontein,ZA,2021-07-23 21:35:43,-34.0033,24.7314,44.26,76,36,5.08
135,Midyat,TR,2021-07-23 21:35:43,37.4247,41.3393,74.48,21,0,5.99
136,Khatanga,RU,2021-07-23 21:35:43,71.9667,102.5,52.54,75,19,7.05
137,Simao,CN,2021-07-23 21:35:44,22.7886,100.9748,65.1,100,78,2.35
138,Guiyang,CN,2021-07-23 21:35:44,26.5833,106.7167,68.49,94,75,6.71
139,Ponta Do Sol,PT,2021-07-23 21:35:44,32.6667,-17.1,73.71,77,2,7.29
140,Torrington,US,2021-07-23 21:35:45,41.8007,-73.1212,80.78,55,79,5.01
141,Biltine,TD,2021-07-23 21:35:45,14.5333,20.9167,82.65,60,100,3.89
142,Harper,LR,2021-07-23 21:35:45,4.375,-7.7169,75.54,75,89,7.94
143,Hambantota,LK,2021-07-23 21:35:46,6.1241,81.1185,77.34,100,75,11.5
144,Shelbyville,US,2021-07-23 21:31:25,35.4834,-86.4603,91.67,56,20,1.01
145,Yulara,AU,2021-07-23 21:35:46,-25.2406,130.9889,37.24,70,5,0.0
146,Mandiana,GN,2021-07-23 21:35:47,10.6333,-8.6833,70.99,97,100,7.25
147,Disna,BY,2021-07-23 21:35:47,55.568,28.1971,54.81,81,1,7.25
148,Payo,ID,2021-07-23 21:35:47,-3.7508,103.6372,70.57,98,50,2.17
149,Aykhal,RU,2021-07-23 21:35:48,66.0,111.5,59.45,82,29,12.19
150,San Jeronimo,PE,2021-07-23 21:35:48,-11.9472,-75.2829,56.21,49,66,6.76
151,Solnechnyy,RU,2021-07-23 21:35:48,50.7214,136.6319,79.79,72,58,1.36
152,Namatanai,PG,2021-07-23 21:35:03,-3.6667,152.4333,81.34,78,50,7.78
153,Havoysund,NO,2021-07-23 21:35:49,70.9963,24.6622,45.48,88,100,28.61
154,Turukhansk,RU,2021-07-23 21:35:49,65.8167,87.9833,67.3,80,100,19.6
155,Sorland,NO,2021-07-23 21:35:50,67.667,12.6934,51.93,96,100,12.5
156,San Cristobal,VE,2021-07-23 21:30:55,7.7669,-72.225,86.18,78,100,4.76
157,Narsaq,GL,2021-07-23 21:35:50,60.9167,-46.05,57.42,64,7,3.18
158,Bredasdorp,ZA,2021-07-23 21:34:13,-34.5322,20.0403,49.32,81,0,9.22
159,Tateyama,JP,2021-07-23 21:35:50,34.9833,139.8667,84.02,79,1,3.38
160,Maragogi,BR,2021-07-23 21:35:51,-9.0122,-35.2225,74.35,77,20,10.47
161,Manggar,ID,2021-07-23 21:35:51,-2.8833,108.2667,81.07,79,25,10.16
162,Panaba,MX,2021-07-23 21:35:51,21.2833,-88.2667,91.38,48,98,16.67
163,Jamestown,US,2021-07-23 21:34:26,42.097,-79.2353,76.84,56,40,8.05
164,Ambon,ID,2021-07-23 21:35:52,-3.6954,128.1814,78.21,87,100,9.6
165,Sola,VU,2021-07-23 21:35:52,-13.8833,167.55,77.67,94,90,0.0
166,Angoche,MZ,2021-07-23 21:35:52,-16.2325,39.9086,73.85,63,53,19.46
167,Itoman,JP,2021-07-23 21:35:53,26.1247,127.6694,80.98,96,75,31.07
168,Plastun,RU,2021-07-23 21:35:53,44.7561,136.2939,77.54,85,99,1.01
169,Micheweni,TZ,2021-07-23 21:35:53,-4.9667,39.8333,75.88,74,28,16.67
170,Kaitangata,NZ,2021-07-23 21:35:54,-46.2817,169.8464,42.93,76,39,3.18
171,Beisfjord,NO,2021-07-23 21:34:30,68.3751,17.5988,51.85,98,100,4.14
172,Ust-Kulom,RU,2021-07-23 21:35:54,61.6864,53.6902,53.76,81,99,6.46
173,Kirakira,SB,2021-07-23 21:35:55,-10.4544,161.9205,82.81,74,73,4.97
174,Cherskiy,RU,2021-07-23 21:35:55,68.75,161.3,51.51,62,0,7.56
175,Padang,ID,2021-07-23 21:34:25,-0.9492,100.3543,77.0,83,100,3.65
176,Kabare,CD,2021-07-23 21:35:56,-2.4683,28.8242,64.45,56,88,0.45
177,Torbay,CA,2021-07-23 21:35:29,47.6666,-52.7314,63.75,94,75,6.91
178,Verkhoyansk,RU,2021-07-23 21:35:56,67.5447,133.385,67.95,43,99,2.98
179,Pacific Grove,US,2021-07-23 21:33:03,36.6177,-121.9166,92.98,76,20,5.99
180,Upernavik,GL,2021-07-23 21:35:56,72.7868,-56.1549,40.28,93,100,6.44
